rank,candidate_id,length,source_target,source_subject_id,source_series_index,source_start,shapelet_abs_cohen_d,shapelet_cohen_d_1_vs_0,dtw_window_fraction,dtw_window_radius,mean_dtw_to_motifs,mean_dtw_to_discords,median_dtw_to_motifs,median_dtw_to_discords,min_dtw_to_motifs,min_dtw_to_discords,mean_discord_minus_motif_dtw,median_discord_minus_motif_dtw,min_discord_minus_motif_dtw,closer_to_by_mean_dtw,closer_to_by_median_dtw,closer_to_by_min_dtw,mean_dtw_to_motifs_target_0,mean_dtw_to_motifs_target_1,mean_dtw_to_discords_target_0,mean_dtw_to_discords_target_1
11,238,30,0,3887,1181,108,0.28130156138220075,0.28130156138220075,0.2,6,1.025951543431494,0.8157803326909577,1.0147730670291746,0.7982964641350938,0.5079615159504028,0.4906503815686964,-0.21017121074053635,-0.21647660289408077,-0.01731113438170645,discords,discords,discords,1.0152061914602075,1.0366968954027806,0.8107320812790652,0.8208285841028503
12,194,30,0,2184,2186,148,0.2810056151653682,0.2810056151653682,0.2,6,1.0104307767176717,0.8523457438971723,1.0651426849993197,0.8472139772582385,0.3702978746324542,0.482849876597824,-0.15808503282049935,-0.2179287077410812,0.1125520019653698,discords,discords,motifs,0.9976554596186787,1.0232060938166643,0.860040492410149,0.8446509953841956
13,261,40,1,2854,2020,19,0.27506066185313083,0.27506066185313083,0.2,8,0.9358597568889678,0.9559241203229145,0.9398963494556553,0.9347962359586972,0.3336126059897246,0.5117443818713577,0.020064363433946686,-0.0051001134969580475,0.17813177588163315,motifs,discords,motifs,0.9165960273402686,0.9551234864376672,0.9445876850768651,0.9672605555689641
14,77,10,1,1647,1296,104,0.2728862686156628,0.2728862686156628,0.2,2,1.1293755886825205,1.0669345029241333,1.0065871335035887,1.0547827558811496,0.4072313509639082,0.5491111512286703,-0.06244108575838725,0.04819562237756081,0.14187980026476205,discords,motifs,motifs,1.1221272065768766,1.1366239707881645,1.0675681252564853,1.0663008805917815
15,297,40,1,1110,711,24,0.2698964307445239,0.2698964307445239,0.2,8,1.0840682046723111,0.8913395168133239,1.128854103559552,0.8704594547757751,0.41675509730300603,0.49615296149739957,-0.19272868785898722,-0.25839464878377694,0.07939786419439354,discords,discords,motifs,1.0834676153929306,1.0846687939516917,0.8753143502325198,0.907364683394128
16,207,30,1,3098,126,114,0.26706215581760767,0.26706215581760767,0.2,6,1.027431285799999,0.8418171454745588,1.0698189110100023,0.8335698446067408,0.4336106790570143,0.4829067701909295,-0.1856141403254402,-0.2362490664032615,0.0492960911339152,discords,discords,motifs,1.0177106661107143,1.037151905489284,0.8495692857650643,0.834065005184053
17,12,10,1,1088,41,13,0.26340695958695737,-0.26340695958695737,0.2,2,1.2302488921938974,1.1910030074268234,1.1746530311365797,1.2051269571886105,0.40118191677483594,0.46408034992483277,-0.039245884767074024,0.03047392605203081,0.06289843314999682,discords,motifs,motifs,1.2264121054579469,1.2340856789298478,1.208424544568172,1.1735814702854745
18,219,30,0,2835,1817,129,0.26178990103810595,0.26178990103810595,0.2,6,1.1173428842249709,0.8860036218090033,1.195949903867461,0.8895334842840701,0.33478113157205736,0.4133315268718854,-0.23133926241596758,-0.30641641958339094,0.07855039529982805,discords,discords,motifs,1.0984079870404093,1.1362777814095324,0.8900576857890969,0.8819495578289097
19,78,10,0,282,2905,18,0.2614199989062668,0.2614199989062668,0.2,2,1.0411910022592972,1.1833409298572903,1.1565125777125398,1.1599468185285753,0.22428384784534516,0.6207934213716263,0.14214992759799316,0.0034342408160354942,0.39650957352628113,motifs,motifs,motifs,1.0228502780959883,1.059531726422606,1.1890599201971885,1.177621939517392
20,182,30,0,2322,1514,164,0.2605986511405398,0.2605986511405398,0.2,6,1.1936700175944943,0.876932755899677,1.2666513794463352,0.8657150292171865,0.4544383313014039,0.5562746952521306,-0.3167372616948173,-0.40093635022914875,0.1018363639507267,discords,discords,motifs,1.1802237155879345,1.207116319601054,0.8779886917800589,0.8758768200192951
